Country_clean,Year,GDP,Population,GDP_per_capita,Rank_pc,Region
Kenya,2020,100912.0,52217334.0,1932.5383406207602,151.0,Africa
Kiribati,2020,222.0,126099.0,1760.5214950158208,154.0,Oceania
South Korea,2020,1744456.0,51836239.0,33653.21315074575,28.0,Asia
Kosovo,2020,7728.0,1790151.0,4316.95426810364,109.0,
Kuwait,2020,111048.0,4400267.0,25236.650412349976,35.0,Asia
Kyrgyzstan,2020,8283.0,6726596.0,1231.3806269917206,164.0,Asia
Laos,2020,18511.0,7346533.0,2519.6919417635504,136.0,Asia
Latvia,2020,33353.0,1900449.0,17550.06316928263,49.0,Europe
Lebanon,2020,24976.0,5702398.0,4379.911749407881,106.0,Asia
Lesotho,2020,2092.0,2235727.0,935.7135285300933,170.0,Africa
Liberia,2020,3037.0,5149463.0,589.7702342943332,185.0,Africa
Libya,2020,46893.0,7045399.0,6655.833118890782,86.0,Africa
Lithuania,2020,57352.0,2810369.0,20407.284595012257,43.0,Europe
Luxembourg,2020,73612.0,630419.0,116766.78526503801,1.0,Europe
Macau,2020,25344.0,685400.0,36976.94776772687,27.0,Asia
Madagascar,2020,13051.0,28953556.0,450.7563768678362,194.0,Africa
Malawi,2020,11847.0,19533888.0,606.4844848091685,183.0,Africa
Malaysia,2020,337456.0,33889558.0,9957.521428871985,67.0,Asia
Maldives,2020,3706.0,502118.0,7380.735205668787,80.0,Asia
Mali,2020,17491.0,21713836.0,805.523261758079,178.0,Africa
Malta,2020,16397.0,515490.0,31808.570486333392,30.0,Europe
Marshall Islands,2020,242.0,42706.0,5666.651056057697,93.0,Oceania
Mauritania,2020,8464.0,4600131.0,1839.9476014922184,153.0,Africa
Mauritius,2020,11408.0,1266014.0,9010.958804562983,68.0,Africa
Mexico,2020,1121065.0,126799054.0,8841.272585519448,70.0,North America
Federated States of Micronesia,2020,373.0,110916.0,3362.905261639439,127.0,Oceania
Moldova,2020,11530.0,2635130.0,4375.495706094196,107.0,Europe
Mongolia,2020,13313.0,3327204.0,4001.257512313642,115.0,Asia
Montenegro,2020,4777.0,626590.0,7623.805039978295,77.0,Europe
Morocco,2020,121354.0,36584208.0,3317.1143133671226,130.0,Africa
Mozambique,2020,14235.0,30783688.0,462.42022723203274,193.0,Africa
Myanmar,2020,65631.0,53016522.0,1237.934846046672,163.0,Asia
Namibia,2020,10583.0,2728762.0,3878.315514508044,117.0,Africa
Nauru,2020,125.0,11643.0,10736.064588164563,64.0,Oceania
Nepal,2020,33434.0,28966574.0,1154.2269375729418,166.0,Asia
Netherlands,2020,931814.0,17441500.0,53425.106785540236,9.0,Europe
New Zealand,2020,210541.0,5090200.0,41362.028996896,21.0,Oceania
Nicaragua,2020,12730.0,6565267.0,1938.9919709282196,150.0,North America
Niger,2020,13764.0,23717613.0,580.3282143106054,186.0,Africa
Nigeria,2020,432299.0,213996181.0,2020.1248357791956,146.0,Africa
North Macedonia,2020,12385.0,1856124.0,6672.506793727143,85.0,Europe
Norway,2020,367633.0,5379475.0,68339.94023580368,4.0,Europe
Oman,2020,75909.0,4522497.0,16784.754086072364,50.0,Asia
Pakistan,2020,300410.0,235001746.0,1278.3309278051065,162.0,Asia
Palau,2020,259.0,17792.0,14557.104316546762,57.0,Oceania
Panama,2020,57087.0,4293261.0,13296.885514297874,59.0,North America
Papua New Guinea,2020,23848.0,9815746.0,2429.565720221367,137.0,Oceania
Paraguay,2020,35432.0,6603739.0,5365.44524246037,97.0,South America
Peru,2020,206461.0,32838579.0,6287.147808679541,90.0,South America
Philippines,2020,361751.0,112081264.0,3227.57780461862,132.0,Asia
Poland,2020,605930.0,37515748.0,16151.35062747516,52.0,Europe
Portugal,2020,229435.0,10297081.0,22281.557268511337,42.0,Europe
Puerto Rico,2020,103131.0,3281590.0,31427.14354931603,31.0,North America
